Title,Detailed Job URL,Job Details,Job Requirements
"PROCUREMENT MANAGER  (feed)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/procurement-manager-feed.35BDE411.html,"['Developing and implementing purchasing strategies.', 'Managing daily purchasing activities, supervising staff, and allocating tasks.', 'Managing supplier relations and negotiating contracts, prices, timelines, etc.', 'Maintaining the supplier database, purchase records, and related documentation.', 'Coordinating with inventory control to determine and manage inventory needs.', 'Managing the maintenance of office/manufacturing equipment and machinery.', 'Ensuring that all procured items meet the required quality standards and specifications.', 'Preparing cost estimates and managing budgets.', 'Working to improve purchasing systems and processes.']","['Degree in business administration or a related field.', 'Experience as a purchasing manager or in a similar position.', 'Experience in buying raw materials such as feed ingredients, corn, corn residue, wheat, fish meal, bone meal, soybean, soybean residue, grains, …', 'Good communication in English']"
"SQE ENGINEER (Electronics, Chinese language)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/sqe-engineer-electronics-chinese-language.35BDE410.html,[],[]
"PQE ENGINEER (Electronics, Chinese language)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/pqe-engineer-electronics-chinese-language.35BDE40F.html,[],[]
"CUSTOMER QUALITY MANAGER (Electronics, Chinese language)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/customer-quality-manager-electronics-chinese-language.35BDE40E.html,[],[]
"QUALITY MANAGER  (GARMENT) - CHINESE LANGUAGE
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/quality-manager-garment-chinese-language.35BDE40D.html,[],[]
"Sales Manager (food chemical, flavor)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/sales-manager-food-chemical-flavor.35BDE40C.html,"['Managing sales activities, representatives, and customer relationships with a focus on growing profitable sales, prospecting, improved market positioning and customer development/ retention', 'Lead, in person, business and market development, qualification and sales growth opportunities with target customers based.', 'Generating new business opportunities, guiding and supporting team members with existing customers and new business development.', 'Facilitating and mentoring the training & development of representatives.']","['Bachelor’s degree in Business (with good chemical sales experience),\xa0food science, Chemical Technologist or related degree.', 'Minimum of 5 years relevant experience in B2B chemical Sales / Marketing in\xa0food chemical, flavor, food ingredients', 'Strong communication skills, presentation skills, interpersonal and networking skills', 'Good interpersonal skills and relationship building – both internally and externally.', 'Motivated and energetic personality, can-do attitude', 'High degree of independence and work with minimum supervision', 'Confident in leading technical discussions and be problem-solvers', 'Strong communication skills, presentation skills, interpersonal and networking skills', 'Possess strong convincing power and ability to maintain and strengthen relationships with customers & principals', 'Able to lead a team of sales professional']"
"Sales Manager (water treatment chemical)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/sales-manager-water-treatment-chemical.35BDE40B.html,"['Managing sales activities, representatives, and customer relationships with a focus on growing profitable sales, prospecting, improved market positioning and customer development/ retention', 'Lead, in person, business and market development, qualification and sales growth opportunities with target customers based.', 'Generating new business opportunities, guiding and supporting team members with existing customers and new business development.', 'Facilitating and mentoring the training & development of representatives.']","['Bachelor’s degree in Business (with good chemical sales experience),\xa0food science, Chemical Technologist or related degree.', 'Minimum of 5 years relevant experience in B2B chemical Sales / Marketing in\xa0water treatment chemical', 'Strong communication skills, presentation skills, interpersonal and networking skills', 'Good interpersonal skills and relationship building – both internally and externally.', 'Motivated and energetic personality, can-do attitude', 'High degree of independence and work with minimum supervision', 'Confident in leading technical discussions and be problem-solvers', 'Strong communication skills, presentation skills, interpersonal and networking skills', 'Possess strong convincing power and ability to maintain and strengthen relationships with customers & principals', 'Able to lead a team of sales professional']"
"Sales Manager (B2B chemical)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/sales-manager-b2b-chemical.35BDE40A.html,"['Managing sales activities, representatives, and customer relationships with a focus on growing profitable sales, prospecting, improved market positioning and customer development/ retention', 'Lead, in person, business and market development, qualification and sales growth opportunities with target customers based.', 'Generating new business opportunities, guiding and supporting team members with existing customers and new business development.', 'Facilitating and mentoring the training & development of representatives.']","['Bachelor’s degree in Business (with good chemical sales experience),\xa0food science, Food Technologist or related degree.', 'Minimum of 5 years relevant experience in B2B chemical Sales / Marketing.', 'Strong communication skills, presentation skills, interpersonal and networking skills', 'Good interpersonal skills and relationship building – both internally and externally.', 'Motivated and energetic personality, can-do attitude', 'High degree of independence and work with minimum supervision', 'Confident in leading technical discussions and be problem-solvers', 'Strong communication skills, presentation skills, interpersonal and networking skills', 'Possess strong convincing power and ability to maintain and strengthen relationships with customers & principals', 'Able to lead a team of sales professional']"
"Nhân viên HSE (làm việc tại Xuân Lộc - Đồng Nai)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-hse-lam-viec-tai-xuan-loc-dong-nai.35BDE409.html,"['Chịu trách nhiệm về công tác PCCC và ATLĐ (Đã qua lớp tập huấn)', 'Chịu trách nhiệm về ATLĐ và xử lý các vấn đề liên quan đến môi trường, nước thải sản xuất', 'Chịu trách nhiệm xử lý hồ sơ cùng cơ quan Nhà nước', 'Các công việc khác theo phân công từ cấp trên trực tiếp']","['Nam, tuổi từ 24-32', 'Tốt nghiệp ĐH chuyên ngành: Môi trường, An Toàn Lao Động, ...', 'Am hiểu về luật PCCC và ATLĐ (Đã qua lớp tập huấn)', 'Có kinh nghiệm làm việc về ATLĐ và xử lý các vấn đề liên quan đến môi trường, nước thải sản xuất', 'Có kinh nghiệm xử lý hồ sơ cùng cơ quan Nhà nước', 'Có thể đi công tác thường xuyên', 'Kinh nghiệm 02 năm vị trí tương đương trong môi trường nhà máy.', 'Ưu tiên ứng viên có HKTT tại Xuân Lộc, Cẩm Mỹ hoặc có thể ở trọ tại địa phương để làm việc lâu dài.']"
"Production  Supervisor (mechanical)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/production-supervisor-mechanical.35BDE408.html,[],[]
"Chuyên viên Phân tích số liệu
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-so-lieu.35BDE3E2.html,"['Tạo các bảng biểu, form điền thông tin bằng file excel cho các phòng ban', 'Xử lý và phân tích số liệu của Phòng Kinh doanh, kênh bán hàng và các phòng/ban khác khi có yêu cầu', 'Tổng hợp, phân tích và khuyến nghị  BGĐ kế hoạch doanh thu, doanh số, kế hoạch sản xuất (kế hoạch giao hàng), hàng tồn kho, hàng hủy từ phần mềm và cac NPP', 'Quản trị dữ liệu bán hàng, dữ liệu khách hàng', 'Xây dựng hệ thống quản trị dữ liệu, đào tạo số liệu của phòng Kinh doanh và các Phòng khi có yêu cẩu', 'Lập các báo cáo phân tích cho phòng KD, kênh bán hàng định kỳ tuần/ tháng / quý/ năm dưới dạng file excel (pivot table) và báo cáo Power BI', 'Lập báo cáo phân tích NPP, đại lý, báo cáo khách hàng các cấp, báo cáo đối thủ (số liệu khai thác từ phòng kinh doanh), báo cáo khiếu nại, báo cáo chi phí của các phòng ban theo định kỳ, dưới dạng excel và Power BI', 'Theo dõi và báo cáo các bất thường cho BGD khi so sánh số liệu thực tế so với kế hoạch năm và lịch sử các năm trước (theo ngành hàng, mã hàng, khách hàng…)', 'Tư vấn và phối hợp với Phòng kinh doanh, kênh bán hàng để lên dự báo kế hoạch bán hàng năm (nhà máy, khách hàng) chuẩn bị nguyên liệu và nhân sự sản xuất.', 'Phối hợp Phòng kinh doanh, kênh bán hàng để chốt kế hoạch đặt hàng tháng/quý (nhà máy, khách hàng). Phát hiện và cảnh báo các kế hoạch đặt hàng bất thường', 'Thực hiện các dự án, công việc khác do quản lý/BGĐ giao.']","['Kiến thức về quản trị dữ liệu', 'Kiến thức về mô hình hóa dữ liệu', 'Tiếng anh:\xa0đọc hiểu tài liệu, kỹ năng giao tiếp cơ bản', 'Sử dụng thành thạo Excel, Power query Excel, DAX', 'Sử dụng thành thạo 1 trong các công cụ trực quan hóa dữ liệu (Power BI, Google Data Studio,..)', 'Sử dụng thành thạo Excel (Power query, Power pivot, Pivot table,…), Power BI\xa0\xa0\xa0\xa0 (DAX, visualization)', 'Có khả năng sử dụng SQL, Python, Google Data Studio', 'Sử dụng các kiến thức toán thống kê, xác suất ứng dụng vào công việc', 'Kỹ năng phân tích, linh hoạt áp dụng các phần mềm hỗ trợ cho công việc', 'Khả năng tự nghiên cứu ứng dụng công nghệ vào công việc', 'Có ít nhất\xa02 năm trở lên']"
"Chuyên viên kinh doanh
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-kinh-doanh.35BDE3E0.html,[],[]
"[HCM] Giám sát cửa hàng
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/hcm-giam-sat-cua-hang.35BDE3DE.html,[],[]
"Chuyên Viên Quản Trị Hiệu Quả Kinh Doanh
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-quan-tri-hieu-qua-kinh-doanh.35BDE3DC.html,[],[]
"Chuyên viên Kế toán Tổng hợp
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-ke-toan-tong-hop.35BDE3DD.html,"['Kiểm tra đối chiếu số liệu giữa các đơn vị nội bộ, dữ liệu chi tiết và tổng hợp.', 'Kiểm tra, định khoản nghiệp vụ phát sinh.', 'Kiểm tra sự cân đối giữa số liệu kế toán chi tiết và tổng hợp.', 'Kiểm tra số dư cuối kỳ đối chiếu các báo cáo chi tiết.', 'Hạch toán, quyết toán thu nhập, chi phí, khấu hao, TSCĐ, công nợ, thuế GTGT và báo cáo thuế.', 'Theo dõi công nợ phải thu, phải trả. Xác định và đề xuất lập dự phòng hoặc xử lý công nợ phải thu khó thu toàn công ty.', 'In sổ chi tiết và tổng hợp theo quy định.', 'Lập báo cáo tài chính theo từng quý, 6 tháng, năm và các báo cáo giải trình chi tiết.', 'Trực tiếp xử lý và hạch toán các nghiệp vụ kế toán.', 'Tham gia phối hợp công tác kiểm tra, kiểm kê.', 'Cải tiến phương pháp hạch toán và chế độ báo cáo.', 'Thống kê và tổng hợp số liệu kế toán khi có yêu cầu.', 'Cung cấp số liệu cho Ban lãnh đạo hoặc các đơn vị chức năng khi có yêu cầu.', 'Giải trình số liệu và cung cấp hồ sơ, số liệu cho cơ quan thuế, kiểm toán, thanh tra kiểm tra theo yêu cầu.', 'Kiến nghị và đề xuất biện pháp khắc phục cải tiến.', 'Lưu trữ dữ liệu kế toán theo quy định.']",[]
"Senior Strategic Planner
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/senior-strategic-planner.35BDE3DA.html,"['Advancement of the brands through the ability to combine psychological knowledge, analytical thinking, and creativity', 'Writing inspirational creative briefings', 'Development and conception of target group-specific, cross-channel brand, and communication strategies', 'Build up a strong internal information system via leveraging secondary research and tools as well as other internal resources', 'Creation of convincing and strategic presentations', 'Analysis of markets, brands, and customer needs', 'Other assigned tasks by different strategists']","['Bachelor’s Degree in Marketing, Communication or related majors', 'Have at least 3-4 years of professional working experience in Strategic Planning or similar experience', 'Strong quantitative research experience/background', 'Good command of English', 'Outstanding negotiation, organization, and problem-solving skills', 'Experience Automobile/motorcycle industry, FMCG is a plus']"
"Nhân Viên Sales Thị Trường
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-sales-thi-truong.35BDE39C.html,[],[]
"Bác sĩ các chuyên khoa cho Phòng khám đa khoa cao cấp của Hàn Quốc
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/bac-si-cac-chuyen-khoa-cho-phong-kham-da-khoa-cao-cap-cua-han-quoc.35BDE38A.html,[],[]
"Chuyên viên cao cấp Quản trị rủi ro Thanh khoản
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-cao-cap-quan-tri-rui-ro-thanh-khoan.35BDE3D9.html,"['Thực hiện và quản lý hệ thống báo cáo Quản trị rủi ro Thanh khoản theo quy định của nhà nước theo định kỳ hàng ngày/tháng/quý/năm;', 'Quản lý rủi ro thanh khoản bằng việc thực hiện nhận diện rủi ro thanh khoản thị trường, theo dõi, đo lường, kiểm soát, dự báo, cảnh báo để đảm bảo tuân thủ các tỷ lệ bảo đảm an toàn trong hoạt động theo quy định; cảnh báo trong trường hợp có biến động lớn, sắp vượt ngưỡng, các dấu hiệu bất thường; đồng thời đề xuất các giải pháp nhằm giảm thiểu rủi ro;', 'Thực hiện kiểm tra sức chịu đựng của công ty trong điều kiện căng thẳng liên quan rủi ro thanh khoản, từ đó đề xuất các hành động dự phòng (nếu cần)', 'Xây dựng các văn bản về Quản trị rủi ro Thanh khoản;', 'Tham gia các dự án liên quan đến Quản trị rủi ro Thanh khoản;', 'Được phân công và thực hiện các nhiệm vụ khác theo yêu cầu của các cấp có thẩm quyền liên quan tới công tác Quản trị rủi ro Thanh khoản', 'Lương thưởng cạnh tranh trên thị trường, phản ánh đúng năng lực thực tế.', 'Thưởng cuối năm + thưởng Lễ/Tết + thưởng sinh nhật + thưởng đột xuất khi hoàn thành tốt nhiệm vụ', '12 ngày phép năm + phép thâm niên', 'BHXH + chế độ bảo hiểm đặc biệt dành cho nhân viên (F88 Care)', 'Cơ hội tham gia gắn kết với tập thể thông qua các hoạt động văn hóa sôi động: Teambuilding, Tất niên, 8/3, 20/10, Giáng sinh…', 'Cơ hội làm việc tại Công ty hàng đầu, uy tín trong lĩnh vực tài chính cá nhân', 'Môi trường làm việc cởi mở và năng động với các giá trị cốt lõi sâu sắc truyền cảm hứng làm việc đến nhân viên.', 'Khuyến khích trao đổi ý tưởng, đề cao sự sáng tạo trong công việc.', 'F88 cam kết cho bạn nền tảng vững chắc để học hỏi và phát triển.', 'Tham gia đào tạo bài bản, chuyên nghiệp từ Học viện F88.', 'Sẵn sàng trao quyền, cơ hội đột phá cho nhân viên.']","['Tốt nghiệp Đại học, Cao đằng các chuyên ngành: Tài chính- Ngân hàng, Kế toán –kiểm toán, Quản trị rủi ro, Toán kinh tế và các ngành tương đương', '2 năm kinh nghiệm trong mảng Tài chính quản trị hoặc\xa0Rủi ro dòng tiền và thanh khoản tại tổ chức Ngân hàng/ Tài chính, ALCO, Balance sheet', 'Sử dụng thành thạo các công cụ phân tích, xử lý dữ liệu (Excel, SQL, python,…)', 'Kỹ năng quản lý công việc, chịu được áp lực cao trong công việc', 'Kỹ năng làm việc nhóm, phân tích & xử lý vấn đề', 'Nhạy bén với các con số và rủi ro']"
"Chuyên viên Phân tích Dữ liệu (Khối CNTT)
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/chuyen-vien-phan-tich-du-lieu-khoi-cntt.35BDE3D8.html,"['Cung cấp thông tin chuyên sâu dựa trên dữ liệu cho người dùng bằng cách sử dụng các kỹ thuật khai thác dữ liệu, báo cáo Dashboard, thực hiện phân tích thống kê trên các bộ dữ liệu lớn và xây dựng các hệ thống dự đoán chất lượng cao được tích hợp với người dùng doanh nghiệp;', 'Làm việc chặt chẽ với đầu mối nghiệp vụ về dữ liệu của các Khối nghiệp vụ, các đơn vị liên quan và cung cấp dữ liệu chuyên sâu cần thiết cho các yêu cầu phân tích của Nghiệp vụ;', 'Rà soát, xây dựng đặc tả thiết kế các báo cáo quản trị tự động theo yêu cầu. Cung cấp thông tin, dữ liệu quản trị cho các đơn vị theo yêu cầu.']","['Tốt nghiệp từ Đại học trở lên,\xa0chuyên ngành CNTT, Điện tử viễn thông\xa0hoặc các chuyên ngành tương đương', 'Kỹ năng:\xa0\r\n\t\nThành thạo tối thiểu 1 công cụ quản lý, khai thác dữ liệu (PL SQL, NoSQL,…)\nThành thạo tối thiểu 01 công cụ chuyển đổi dữ liệu\nTriển khai một trong các dự án Data Warehouse, Data Governance, Data Quality, Làm sạch dữ liệu, Data Management, Dự án chuyển đổi CoreBanking', 'Thành thạo tối thiểu 1 công cụ quản lý, khai thác dữ liệu (PL SQL, NoSQL,…)', 'Thành thạo tối thiểu 01 công cụ chuyển đổi dữ liệu', 'Triển khai một trong các dự án Data Warehouse, Data Governance, Data Quality, Làm sạch dữ liệu, Data Management, Dự án chuyển đổi CoreBanking', 'Kinh nghiệm:\r\n\t\nTối thiểu 03 năm kinh nghiệm trong lĩnh vực Ngân hàng/Tài chính\nƯu tiên có kinh nghiệm làm việc hệ thống CRM/CRM SAP\nCó kinh nghiệm ở vị trí Chuyên viên Quản lý Kho dữ liệu và mô hình dữ liệu/Phân tích dữ liệu/Phân tích yêu cầu nghiệp vụ (BA)', 'Tối thiểu 03 năm kinh nghiệm trong lĩnh vực Ngân hàng/Tài chính', 'Ưu tiên có kinh nghiệm làm việc hệ thống CRM/CRM SAP', 'Có kinh nghiệm ở vị trí Chuyên viên Quản lý Kho dữ liệu và mô hình dữ liệu/Phân tích dữ liệu/Phân tích yêu cầu nghiệp vụ (BA)', 'Ưu tiên: Ứng viên có chứng chỉ liên quan đến Data Governance, Data Quality, Data Management']"
"Điều dưỡng trưởng cho Phòng khám đa khoa cao cấp của Hàn Quốc
                                             (Mới)",https://careerbuilder.vn/vi/tim-viec-lam/dieu-duong-truong-cho-phong-kham-da-khoa-cao-cap-cua-han-quoc.35BDE3A3.html,"['Chịu trách nhiệm về hoạt động của Điều dưỡng tại Phòng khám;', 'Thực hiện các công việc chuyên môn của điều dưỡng tại phòng khám: tiêm truyền, thay băng, cắt chỉ...thực hiện y lệnh bác sĩ, thực hiện cấp cứu người bệnh và rà soát các yếu tố mất an toàn trong Phòng khám.', 'Thiết lập các quy trình kỹ thuật thuộc chuyên môn của Điều dưỡng', 'Quản lý về kiểm soát nhiễm khuẩn và 5S tại phòng khám', 'Thực hiện công tác quản lý, đào tạo chuyên môn và đánh giá điều dưỡng viên: sắp xếp lịch làm việc, quản lý giờ đào tạo CME, đánh giá định kỳ và hỗ trợ, đào tạo công việc cho điều dưỡng viên...', 'Thực hiện công tác quản lý vật tư, trang thiết bị của phòng khám phục vụ hoạt động vận hành;', 'Làm các báo cáo liên quan phòng điều dưỡng theo yêu cầu của Công ty', 'Điều hành công việc điều dưỡng và phối hợp với các phòng chuyên môn khác để đảm bảo dịch vụ cung cấp tới khách hàng;', 'Các công việc khác theo phân công của Lãnh đạo;']","['Tốt nghiệp cao đẳng chuyên ngành điều dưỡng trở lên, có chứng chỉ quản lý điều dưỡng;.', 'Có chứng chỉ hành nghề, có kinh nghiệm 5 năm làm điều dưỡng trưởng phòng khám/bệnh viện hoặc điều dưỡng trưởng khoa nội trú ở bệnh viện có từ 10 điều dưỡng viên trở lên;', 'Tin học văn phòng cơ bản, có thể sử dụng', 'Tiếng Anh giao tiếp và kỹ năng tin học văn phòng cơ bản', 'Ưu tiên ứng viên đã có kinh nghiệm tương đương tại các Bệnh viện, Phòng khám quốc tế; ưu tiên bằng đại học, sau đại học.']"
